log_id;customer_id;access_date;access_time;pages_visited;device;session_duration;source_ip
46;478;2023-09-14;1:30;terms of use;tablet;1867;100.147.25.234
47;16;2023-01-17;0:51;terms of use;tablet;2956;8.33.208.195
48;445;2023-03-17;13:37;policies;mobile;3236;253.53.27.30
49;317;2022-12-08;6:29;policies;desktop;2051;255.5.48.185
50;19;2022-11-15;13:53;terms of use;desktop;531;7.106.181.2
51;146;2023-09-19;10:37;policies;mobile;3317;45.57.162.202
52;87;2022-12-18;7:03;products;desktop;3234;148.208.53.91
53;178;2023-07-09;17:58;home page;tablet;1162;0.160.163.236
54;143;2023-10-24;3:26;home page;mobile;3266;177.242.102.49
55;338;2023-01-16;8:43;products;mobile;599;159.125.29.255
56;460;2023-04-13;20:34;products;tablet;1435;152.111.17.15
57;130;2023-10-06;20:05;home page;desktop;818;83.28.172.66
58;233;2023-01-29;0:04;home page;mobile;3242;201.0.199.138
59;399;2023-04-15;21:17;policies;desktop;2863;183.181.31.182
60;471;2022-12-30;17:16;policies;tablet;803;188.149.252.163
61;422;2023-07-17;3:26;terms of use;desktop;2614;27.213.196.85
62;486;2023-08-01;2:50;terms of use;mobile;1736;176.49.186.116
63;394;2023-03-26;4:49;terms of use;tablet;334;168.186.236.244
64;53;2023-05-15;18:01;terms of use;mobile;3276;112.80.15.42
65;180;2023-10-01;23:13;terms of use;mobile;677;87.18.202.50
66;332;2022-11-27;6:39;products;desktop;2069;217.248.248.165
67;158;2023-09-30;16:43;policies;mobile;3084;234.116.234.65
68;296;2023-06-13;18:01;policies;desktop;2241;173.227.125.122
69;452;2023-01-12;10:07;home page;tablet;1308;181.72.90.176
70;222;2023-03-02;8:09;policies;tablet;1669;195.194.65.208
71;411;2023-06-20;14:56;home page;mobile;2259;160.187.31.163
72;109;2023-09-18;12:23;home page;tablet;1290;155.155.128.114
73;438;2023-04-13;13:08;products;desktop;374;50.31.97.8
74;115;2023-04-13;3:52;terms of use;mobile;2920;222.118.66.103
75;79;2023-05-23;10:29;terms of use;desktop;2586;139.142.190.81
76;261;2023-05-26;3:52;home page;desktop;922;201.76.25.54
77;427;2023-06-25;15:49;products;desktop;3235;178.174.27.48
78;162;2023-04-09;12:09;terms of use;tablet;576;246.143.3.67
79;238;2023-07-09;23:21;home page;mobile;179;59.221.42.70
80;223;2023-09-07;22:27;terms of use;tablet;3429;146.161.197.101
81;480;2023-06-06;23:26;home page;tablet;1495;211.186.16.123
82;496;2023-02-08;8:12;home page;desktop;172;217.220.110.65
83;432;2023-09-17;6:38;products;desktop;595;155.145.128.77
84;388;2023-04-26;8:48;policies;desktop;3411;78.41.64.133
85;480;2023-10-27;22:40;home page;tablet;3456;213.150.206.0
86;248;2023-06-05;11:31;products;mobile;2182;231.174.221.111
87;373;2023-03-06;11:46;home page;desktop;2106;42.57.17.148
88;405;2023-05-30;1:55;terms of use;tablet;2170;124.214.153.37
89;356;2023-09-13;21:16;home page;mobile;1255;119.25.238.0
90;243;2023-05-06;5:09;products;tablet;1216;80.230.149.4
91;405;2023-05-31;8:20;policies;desktop;3231;82.7.142.74
92;287;2023-01-10;18:09;products;tablet;2476;146.28.172.15
93;149;2023-09-13;18:43;terms of use;tablet;1697;202.145.206.34
94;151;2022-12-31;23:17;policies;mobile;2155;183.62.95.151
95;343;2023-08-31;20:53;policies;desktop;2087;147.33.212.254
96;164;2023-04-21;5:45;products;tablet;2224;139.145.229.143
97;222;2023-06-14;17:35;terms of use;desktop;3288;226.224.120.123
98;117;2023-05-08;16:10;products;tablet;3591;54.17.165.241
99;96;2023-01-14;19:23;terms of use;desktop;2135;190.209.182.158
100;460;2023-09-17;18:01;products;tablet;152;20.225.180.87
101;158;2023-08-30;9:21;products;tablet;1001;129.147.253.124
102;480;2023-08-03;14:52;terms of use;tablet;422;103.40.131.172
103;85;2023-01-01;10:17;home page;tablet;2639;141.43.217.214
104;343;2023-11-01;18:07;home page;desktop;2780;228.225.57.210
105;385;2022-12-30;14:28;home page;mobile;3216;27.220.37.221
106;275;2023-10-30;14:29;home page;tablet;1342;231.71.116.2
107;385;2022-12-06;0:01;home page;desktop;2853;98.183.138.91
108;389;2023-03-11;4:20;policies;desktop;2487;242.102.13.215
109;359;2023-06-10;13:11;home page;mobile;2808;81.10.201.183
110;13;2023-03-08;18:25;home page;desktop;627;44.49.135.203
111;320;2022-12-24;12:05;policies;desktop;1368;188.135.159.241
112;380;2023-06-22;20:42;products;desktop;1683;213.179.112.4
113;413;2023-03-14;12:06;terms of use;tablet;3199;218.87.54.1
114;11;2022-12-03;10:16;home page;desktop;2388;125.63.138.23
115;119;2023-05-19;5:39;policies;tablet;2917;244.66.142.199
116;89;2022-11-10;1:22;policies;tablet;2001;145.237.201.239
117;5;2023-03-22;1:54;home page;tablet;608;79.11.163.107
118;83;2022-12-20;19:39;terms of use;mobile;2809;182.167.202.78
119;347;2023-05-13;4:30;products;tablet;2987;59.236.202.15
120;108;2023-03-11;12:06;products;desktop;1694;164.62.136.83
121;445;2023-09-08;2:18;terms of use;tablet;3362;243.48.245.55
122;414;2023-08-26;19:16;terms of use;mobile;3570;235.254.217.214
123;261;2023-02-16;10:06;products;desktop;3419;204.135.174.235
124;434;2023-04-13;19:46;home page;desktop;2615;103.137.209.98
125;302;2023-01-20;6:57;policies;tablet;2503;255.154.221.232
126;465;2023-06-03;3:51;terms of use;desktop;1458;150.46.216.209
127;98;2023-06-18;16:21;policies;mobile;1840;100.47.22.177
128;474;2022-12-30;2:35;policies;mobile;1649;195.56.94.76
129;469;2022-12-15;11:13;home page;tablet;3148;168.209.38.74
130;338;2023-09-16;0:15;policies;tablet;2985;131.111.133.46
131;254;2023-05-09;8:28;terms of use;tablet;579;1.175.143.173
132;457;2023-01-02;13:52;policies;mobile;1580;245.160.249.251
133;100;2023-05-20;10:01;terms of use;mobile;1954;112.8.241.136
134;262;2023-01-16;21:31;terms of use;tablet;1958;251.101.161.17
135;8;2022-11-14;8:31;home page;tablet;2131;76.36.209.168
136;212;2023-02-18;10:10;policies;desktop;1183;196.105.54.59
137;497;2023-04-11;8:44;home page;desktop;2517;134.157.245.200
138;357;2023-08-19;7:59;policies;tablet;312;5.17.182.99
139;184;2023-05-23;0:51;terms of use;tablet;1221;94.92.254.104
140;352;2023-11-02;9:23;terms of use;tablet;1047;11.124.24.100
141;165;2023-02-19;14:22;home page;mobile;3499;209.99.36.77
142;5;2023-09-01;22:40;home page;desktop;2825;118.235.184.138
143;470;2023-08-31;4:52;policies;tablet;2034;178.253.2.216
144;42;2023-10-12;4:18;home page;tablet;3327;56.222.111.82
145;476;2023-01-07;2:49;home page;tablet;1383;209.49.206.67
146;333;2023-01-16;4:55;policies;tablet;194;15.64.225.77
147;73;2023-06-24;22:17;terms of use;tablet;2609;116.159.156.226
148;8;2023-08-24;14:39;home page;mobile;1393;145.56.130.6
149;77;2023-11-02;11:18;products;desktop;3522;11.234.149.71
150;211;2023-10-13;13:16;terms of use;mobile;1137;45.145.118.252
151;113;2023-02-11;18:30;home page;desktop;1023;64.57.208.36
152;69;2022-12-15;14:12;products;desktop;1680;177.196.230.205
153;12;2023-02-15;19:47;terms of use;tablet;448;233.181.116.207
154;389;2023-05-17;20:22;terms of use;mobile;1658;60.111.50.152
155;215;2023-10-13;2:38;home page;mobile;2315;188.116.206.156
156;436;2022-12-02;16:19;products;mobile;2649;199.36.25.144
157;329;2023-05-20;1:17;policies;desktop;498;50.34.169.66
158;447;2023-04-19;5:12;terms of use;mobile;2377;156.143.240.13
159;267;2023-04-24;17:47;products;mobile;901;69.206.225.197
160;360;2022-11-18;19:34;products;mobile;575;232.95.98.53
161;468;2023-06-18;21:43;home page;desktop;2593;2.65.235.238
162;15;2023-04-14;15:04;terms of use;desktop;2005;186.137.93.125
163;225;2023-05-19;1:54;home page;mobile;267;45.59.20.188
164;338;2023-03-01;17:18;products;tablet;1143;50.240.177.63
165;34;2023-02-14;20:02;home page;mobile;503;206.29.99.222
166;499;2023-01-01;9:42;policies;desktop;3338;207.106.198.229
167;124;2022-12-24;13:09;products;tablet;510;155.81.132.120
168;457;2023-09-14;21:45;policies;desktop;85;205.198.91.47
169;322;2023-07-31;7:40;policies;mobile;1182;142.220.210.128
170;253;2023-05-31;8:20;policies;desktop;2230;225.234.152.200
171;90;2023-04-19;16:06;policies;tablet;767;178.223.242.190
172;16;2022-12-27;13:05;products;mobile;1601;165.40.250.139
173;456;2023-05-16;12:17;terms of use;desktop;3224;54.118.23.231
174;191;2023-03-21;0:03;terms of use;tablet;408;91.80.250.159
175;48;2023-08-14;16:52;terms of use;desktop;586;119.80.211.123
176;149;2023-08-02;22:11;home page;desktop;2775;217.15.220.115
177;287;2023-04-25;16:52;terms of use;desktop;375;77.136.35.39
178;40;2023-09-02;19:02;home page;desktop;3375;205.114.240.47
179;50;2023-06-03;10:46;products;tablet;1290;45.175.23.45
180;421;2023-08-15;4:15;home page;mobile;762;178.197.182.59
181;100;2023-05-15;10:02;terms of use;desktop;2746;137.150.41.206
182;412;2022-12-29;12:54;home page;tablet;332;158.64.36.157
183;40;2023-08-06;5:12;home page;desktop;394;52.200.78.88
184;89;2023-01-14;1:47;home page;desktop;2090;207.209.73.15
185;80;2023-07-07;0:09;products;mobile;1866;79.47.99.172
186;84;2023-03-27;7:31;terms of use;tablet;1051;235.221.107.176
187;306;2022-11-30;5:55;home page;desktop;2846;163.150.177.110
188;56;2023-06-01;6:32;policies;desktop;1559;59.128.182.50
189;226;2023-08-12;8:22;products;tablet;446;193.67.101.57
190;154;2023-08-12;10:43;products;tablet;3532;250.68.183.74
191;436;2022-12-24;4:59;products;mobile;3279;205.13.175.220
192;472;2023-04-05;17:17;terms of use;desktop;339;216.226.58.202
193;141;2023-08-04;7:24;terms of use;mobile;108;103.193.71.113
194;155;2023-06-03;14:49;terms of use;tablet;1703;34.157.201.16
195;171;2022-11-20;21:39;home page;desktop;3565;138.124.158.144
196;411;2023-02-26;11:15;products;tablet;1177;32.249.156.134
197;356;2023-03-10;22:11;policies;mobile;1623;244.162.213.234
198;328;2023-01-12;3:07;products;tablet;3166;209.32.151.167
199;241;2023-07-18;14:21;policies;mobile;954;27.94.249.177
200;469;2023-04-17;14:45;policies;tablet;347;89.94.116.28
201;404;2023-01-16;1:20;terms of use;mobile;2717;72.243.180.169
202;495;2023-03-27;21:25;products;mobile;3540;39.109.70.218
203;317;2023-07-17;14:02;products;desktop;2251;231.88.25.233
204;230;2023-10-06;2:30;home page;mobile;3345;233.54.2.85
205;37;2022-12-02;7:10;terms of use;tablet;2149;68.91.211.17
206;360;2023-02-01;15:51;products;tablet;2382;136.96.68.207
207;470;2023-01-19;15:28;home page;mobile;2733;195.102.110.221
208;169;2023-02-07;4:25;products;tablet;1602;218.21.184.172
209;370;2023-04-06;19:32;home page;desktop;1664;101.11.91.10
210;46;2023-09-09;13:13;policies;desktop;2677;36.152.34.128
211;491;2023-10-16;13:00;products;desktop;620;238.145.146.90
212;345;2023-08-04;6:17;terms of use;tablet;2387;47.124.191.11
213;201;2023-07-03;4:45;policies;desktop;679;84.114.186.37
214;474;2023-10-01;16:21;policies;mobile;1978;158.207.153.65
215;104;2023-08-08;3:23;products;desktop;3082;17.82.135.219
216;339;2023-02-26;16:41;terms of use;mobile;858;117.124.33.93
217;89;2023-02-02;20:40;home page;desktop;2970;128.231.51.40
218;15;2023-07-07;18:49;terms of use;desktop;586;225.53.166.194
219;380;2023-08-01;20:38;terms of use;mobile;1412;153.45.15.32
220;270;2023-04-22;11:12;policies;desktop;684;192.146.72.66
221;251;2023-07-28;7:10;policies;tablet;1042;95.125.9.179
222;32;2023-07-16;17:18;policies;mobile;133;109.145.175.150
223;51;2023-04-30;10:18;terms of use;tablet;671;170.118.115.131
224;491;2023-02-17;16:38;home page;desktop;2341;122.1.23.169
225;186;2023-07-09;7:37;products;desktop;2485;225.214.48.32
226;288;2023-09-18;19:37;terms of use;tablet;752;35.25.5.8
227;395;2023-04-02;17:48;products;tablet;2073;93.32.108.242
228;162;2023-03-03;13:39;products;tablet;2256;77.191.101.164
229;452;2023-07-07;5:35;policies;desktop;1593;201.215.23.204
230;429;2023-07-23;11:34;policies;desktop;3513;145.132.48.83
231;312;2023-01-09;5:42;products;tablet;1531;16.90.233.92
232;198;2023-07-15;9:42;terms of use;mobile;1991;128.31.253.197
233;486;2023-08-28;23:52;home page;tablet;98;68.249.89.210
234;152;2022-11-28;15:04;policies;tablet;3382;21.193.244.255
235;308;2023-07-15;20:34;terms of use;mobile;798;173.121.23.81
236;377;2023-02-10;15:32;policies;mobile;1273;6.250.155.10
237;411;2023-04-24;23:43;products;tablet;1407;206.113.243.75
238;12;2022-11-11;3:15;home page;desktop;1884;156.15.22.6
239;176;2023-02-19;2:45;products;desktop;2180;2.153.89.125
240;42;2023-06-12;8:41;home page;mobile;1495;219.134.59.176
241;459;2023-05-14;14:12;policies;desktop;723;67.218.35.131
242;399;2023-06-27;11:41;home page;tablet;3095;144.235.30.224
243;471;2023-01-19;14:23;policies;desktop;2878;92.248.187.75
244;415;2023-01-27;4:50;terms of use;tablet;3119;43.137.215.220
245;269;2023-09-05;21:20;home page;desktop;3482;229.229.38.77
246;31;2023-01-26;23:10;home page;desktop;2316;156.35.174.239
247;145;2023-10-12;2:21;policies;desktop;1099;6.213.203.14
248;410;2022-11-23;23:56;home page;desktop;2695;138.82.238.197
249;483;2023-06-20;12:30;products;mobile;3061;132.35.147.245
250;440;2023-06-08;17:57;policies;mobile;1061;183.216.32.23
251;52;2023-04-20;12:59;terms of use;mobile;2215;108.179.16.154
252;138;2023-07-05;11:47;terms of use;tablet;3347;8.154.199.242
253;442;2023-03-28;14:40;home page;tablet;461;183.74.153.218
254;165;2023-07-22;15:24;terms of use;mobile;498;159.1.188.5
255;383;2023-10-15;10:49;home page;mobile;1317;60.158.58.31
256;9;2023-07-11;0:31;policies;tablet;3065;190.6.159.18
257;103;2023-08-26;9:21;home page;mobile;1786;241.38.29.234
258;402;2023-10-08;18:46;policies;tablet;2751;197.216.190.100
259;53;2023-07-30;18:10;home page;mobile;1004;78.214.223.86
260;362;2023-04-05;13:22;policies;desktop;1633;69.208.76.71
261;207;2023-11-01;15:53;policies;mobile;1837;115.94.133.140
262;348;2023-02-11;7:51;products;desktop;3373;156.219.195.59
263;320;2022-12-24;1:29;policies;tablet;1268;201.70.190.169
264;474;2023-07-29;0:32;products;mobile;2968;204.109.250.235
265;376;2023-11-03;15:10;home page;desktop;2125;182.122.155.18
266;305;2023-01-30;10:02;terms of use;tablet;499;137.70.205.58
267;447;2023-01-10;14:10;policies;tablet;676;248.47.153.253
268;83;2023-07-03;5:48;policies;mobile;3534;100.128.235.158
269;363;2023-04-07;16:26;terms of use;tablet;2600;43.132.223.237
270;364;2023-10-06;19:00;products;mobile;1902;97.207.211.83
271;374;2023-10-06;13:56;products;mobile;1386;199.65.39.205
272;353;2022-12-04;19:59;policies;tablet;3176;77.150.45.252
273;81;2023-04-28;6:19;products;mobile;2539;43.116.227.237
274;345;2022-12-06;17:42;terms of use;desktop;1466;9.40.135.125
275;323;2023-08-06;6:19;products;tablet;76;99.53.117.6
276;373;2023-05-09;9:02;policies;desktop;2961;88.187.233.229
277;455;2023-07-01;1:29;policies;mobile;1576;132.187.220.219
278;408;2023-06-23;5:21;terms of use;tablet;1187;175.184.107.217
279;21;2023-02-10;6:58;terms of use;tablet;3444;17.115.251.144
280;149;2023-04-28;22:19;products;desktop;2308;213.96.135.89
281;332;2023-03-10;6:58;products;tablet;2404;173.74.31.237
282;91;2023-07-05;19:31;home page;desktop;3333;129.167.53.216
283;53;2023-03-31;20:27;policies;mobile;1374;70.246.155.52
284;265;2023-01-18;3:53;home page;tablet;1427;146.130.205.9
285;37;2023-08-19;5:27;products;tablet;125;251.249.116.62
286;47;2022-12-06;9:06;policies;desktop;676;248.246.33.115
287;317;2023-04-10;12:12;terms of use;desktop;2385;106.97.55.232
288;131;2023-01-29;11:25;terms of use;desktop;326;98.45.140.192
289;387;2022-11-13;18:56;terms of use;tablet;342;239.112.68.60
290;118;2023-05-04;12:14;terms of use;desktop;812;108.121.49.94
291;402;2023-02-03;18:27;products;mobile;411;110.63.35.47
292;7;2023-02-07;2:03;policies;desktop;3548;178.236.90.82
293;71;2023-06-27;23:03;policies;mobile;2746;109.92.215.30
294;33;2023-10-25;23:22;terms of use;tablet;967;43.41.102.157
295;122;2023-07-09;6:24;policies;mobile;3321;181.102.254.96
296;118;2023-04-28;23:10;policies;desktop;1551;240.146.192.250
297;381;2022-12-29;1:09;policies;desktop;1953;3.153.118.238
298;447;2022-12-26;21:25;home page;tablet;2609;26.252.163.245
299;476;2023-11-06;4:58;products;desktop;1034;74.246.225.73
300;220;2023-08-02;0:08;terms of use;tablet;3509;68.252.55.24
301;293;2023-06-11;11:30;products;tablet;394;173.35.186.89
302;460;2023-02-23;11:57;home page;tablet;3565;139.113.61.249
303;27;2022-11-28;20:27;products;tablet;3560;193.98.19.89
304;375;2023-05-11;20:07;policies;mobile;3583;118.104.238.137
305;98;2023-07-23;16:52;products;tablet;1951;166.66.164.132
306;146;2023-05-30;23:04;terms of use;mobile;1774;254.171.29.120
307;26;2022-11-09;8:45;products;desktop;77;221.31.125.165
308;19;2023-05-13;12:56;home page;mobile;2831;215.39.177.42
309;226;2023-02-27;18:17;terms of use;desktop;1422;55.40.112.86
310;11;2023-05-29;0:41;home page;tablet;1657;176.137.255.186
311;196;2023-07-15;1:22;terms of use;tablet;74;125.219.94.120
312;497;2023-04-24;5:18;products;desktop;2298;113.188.113.28
313;29;2022-11-20;2:09;policies;mobile;2571;209.22.38.228
314;110;2023-07-10;0:11;home page;desktop;2276;130.93.170.204
315;401;2022-12-18;13:06;products;mobile;364;170.201.113.204
316;283;2023-01-04;22:49;terms of use;mobile;1341;250.79.109.46
317;383;2023-10-22;13:36;policies;desktop;1120;4.178.228.159
318;439;2023-02-05;20:28;policies;tablet;1018;133.66.121.18
319;83;2022-11-13;15:14;policies;tablet;2177;135.235.120.136
320;171;2023-01-09;4:20;policies;desktop;525;209.39.94.121
321;414;2023-06-17;13:37;home page;tablet;2010;91.203.152.201
322;152;2023-10-18;18:08;home page;mobile;2210;35.18.141.243
323;439;2022-12-26;17:11;policies;mobile;2065;17.123.11.158
324;358;2023-07-09;14:27;policies;desktop;776;85.33.189.25
325;245;2023-01-03;8:39;products;tablet;2393;244.52.93.18
326;172;2023-03-02;3:17;products;mobile;188;243.89.248.46
327;367;2023-06-24;17:10;terms of use;desktop;2205;236.22.154.84
328;298;2022-12-21;16:35;policies;desktop;1318;136.250.165.144
329;152;2023-06-28;6:40;terms of use;mobile;234;20.97.247.20
330;488;2023-11-06;2:22;policies;mobile;2019;31.140.78.214
331;16;2023-10-30;1:34;products;mobile;2357;255.109.209.140
332;344;2023-07-21;20:50;terms of use;tablet;1072;118.51.142.195
333;249;2023-01-22;3:28;terms of use;desktop;544;200.183.66.8
334;348;2023-10-19;9:05;terms of use;tablet;238;222.30.22.148
335;351;2023-10-02;1:47;terms of use;tablet;1393;5.114.20.244
336;202;2023-03-25;9:59;home page;desktop;3099;94.136.236.14
337;296;2023-03-19;18:26;products;desktop;1151;26.251.202.185
338;395;2023-10-22;1:43;products;tablet;2990;210.95.119.176
339;432;2023-05-13;1:43;policies;mobile;782;7.167.255.33
340;363;2023-03-30;10:35;home page;mobile;887;229.172.68.122
341;9;2023-08-11;6:10;terms of use;desktop;3069;211.160.157.99
342;486;2023-10-04;14:54;products;mobile;3199;89.43.169.85
343;357;2023-06-07;12:11;products;tablet;2376;36.77.149.76
344;307;2023-07-10;2:56;policies;tablet;1123;20.205.56.178
345;341;2023-03-15;12:33;home page;tablet;2144;28.227.1.44
346;429;2023-06-15;16:38;policies;desktop;2300;150.190.108.198
347;233;2023-10-31;18:52;products;desktop;2726;80.117.90.152
348;393;2022-12-20;8:15;products;desktop;2813;99.184.53.212
349;74;2023-04-03;9:28;terms of use;desktop;3595;101.50.199.198
350;94;2023-06-09;7:22;policies;tablet;2273;235.168.106.250
351;384;2023-03-01;8:38;home page;mobile;216;35.216.149.173
352;278;2023-06-27;20:40;terms of use;mobile;2151;77.89.44.152
353;311;2023-01-02;12:15;terms of use;mobile;727;90.90.176.237
354;251;2022-12-11;14:01;policies;mobile;191;68.137.216.25
355;83;2023-10-25;12:01;policies;mobile;206;62.83.148.19
356;472;2023-04-10;0:52;products;desktop;730;221.175.229.115
357;255;2023-07-06;4:44;products;desktop;2230;162.226.196.151
358;393;2023-10-21;7:03;terms of use;mobile;1045;186.219.102.21
359;52;2022-12-31;2:28;home page;tablet;2580;144.70.125.196
360;116;2023-08-10;2:29;terms of use;desktop;127;5.237.220.172
361;19;2023-07-19;1:46;terms of use;tablet;1718;243.135.101.213
362;237;2023-09-14;6:39;terms of use;mobile;123;110.1.159.43
363;39;2023-08-22;11:43;home page;tablet;2673;141.0.196.79
364;117;2023-06-24;23:40;terms of use;tablet;260;203.100.172.192
365;237;2023-04-06;13:20;home page;mobile;3185;235.68.68.191
366;456;2023-01-22;6:12;home page;mobile;2203;205.63.37.175
367;419;2023-02-18;18:38;products;desktop;362;166.244.77.177
368;264;2023-05-30;7:00;terms of use;mobile;682;64.138.195.150
369;281;2023-09-22;12:57;home page;mobile;3487;128.250.189.10
370;201;2022-11-29;23:02;terms of use;desktop;2315;32.67.70.116
371;369;2023-09-26;17:01;home page;desktop;1076;64.246.86.147
372;344;2023-07-21;10:48;terms of use;tablet;1038;36.163.94.77
373;440;2023-02-02;6:45;products;tablet;3459;151.92.41.202
374;452;2023-10-04;3:54;policies;tablet;2916;180.79.159.176
375;485;2023-03-12;19:53;products;mobile;716;57.210.104.126
376;295;2023-01-22;10:27;policies;tablet;2775;6.64.229.106
377;43;2023-10-20;2:42;home page;mobile;3414;144.125.82.216
378;225;2023-04-23;18:35;terms of use;desktop;295;34.104.251.91
379;133;2023-02-21;22:37;home page;desktop;2759;181.59.204.239
380;179;2023-10-23;19:17;home page;mobile;1345;252.59.243.176
381;154;2023-02-03;3:32;home page;tablet;1613;68.192.243.139
382;228;2023-02-15;14:33;products;mobile;2120;100.13.217.91
383;399;2023-04-26;5:32;terms of use;mobile;2638;9.88.164.77
384;490;2023-03-23;12:37;products;tablet;60;190.74.217.165
385;30;2022-11-10;5:09;policies;desktop;1728;201.19.212.69
386;35;2023-06-09;16:09;terms of use;mobile;111;132.186.187.255
387;127;2023-05-19;6:21;products;mobile;844;144.109.61.234
388;70;2023-05-19;8:05;terms of use;tablet;398;51.81.3.228
389;458;2023-02-02;1:56;home page;desktop;1346;124.238.77.37
390;105;2023-04-10;12:38;products;desktop;410;254.96.72.9
391;91;2023-10-17;13:25;policies;tablet;3280;230.181.111.170
392;171;2023-08-12;3:02;policies;mobile;3470;177.81.216.249
393;342;2023-08-28;15:34;home page;desktop;3474;146.119.170.204
394;338;2023-03-18;8:40;terms of use;mobile;1415;157.156.4.193
395;478;2023-05-06;22:45;products;tablet;3298;105.9.239.178
396;167;2023-04-13;10:59;policies;tablet;1995;220.20.196.172
397;297;2023-10-29;6:47;policies;tablet;2071;211.149.73.182
398;72;2023-04-04;16:20;products;tablet;1335;232.249.224.244
399;320;2023-01-12;9:19;terms of use;tablet;2029;170.210.108.195
400;178;2022-12-31;4:12;terms of use;mobile;205;245.105.216.125
401;273;2023-07-03;2:28;home page;tablet;2684;249.242.174.204
402;153;2023-05-13;19:36;terms of use;desktop;1854;159.82.145.211
403;157;2023-07-20;7:21;policies;desktop;1596;90.225.206.126
404;199;2023-08-02;7:01;home page;mobile;425;204.133.155.60
405;257;2023-05-17;16:26;products;mobile;2240;231.197.62.116
406;191;2023-03-11;21:08;products;mobile;2409;245.37.229.29
407;213;2023-09-08;7:59;terms of use;mobile;1334;172.198.96.165
408;338;2023-10-15;22:06;terms of use;tablet;2611;47.227.166.193
409;464;2022-11-21;7:51;products;mobile;443;99.251.7.252
410;369;2023-06-10;3:39;home page;tablet;2262;104.145.83.77
411;232;2023-10-06;21:44;home page;tablet;2822;175.186.222.177
412;284;2023-01-07;21:28;policies;mobile;523;191.178.87.224
413;70;2023-01-19;20:16;terms of use;mobile;2865;212.109.68.84
414;471;2023-08-12;3:50;terms of use;mobile;1826;239.0.99.178
415;48;2023-06-03;6:14;home page;tablet;839;158.232.20.78
416;266;2023-02-22;17:43;terms of use;desktop;1296;225.150.220.185
417;27;2023-05-19;2:04;terms of use;desktop;2183;191.69.146.67
418;445;2022-12-05;10:29;products;desktop;759;101.163.223.144
419;489;2023-05-24;19:41;products;desktop;2750;76.128.212.39
420;260;2023-09-09;15:49;policies;desktop;2153;247.73.107.73
421;202;2023-04-04;5:30;home page;desktop;609;87.169.50.208
