purchase_id;customer_id;purchase_date;purchase_time;purchase_value;purchased_products;payment_method;purchase_status
75;114;2023-05-11;6:28;6958.98;product1;paypal;pending
76;99;2023-06-14;5:20;4537.79;product2;cash;completed
77;382;2023-10-22;9:59;7504.24;product2;credit_card;cancelled
78;189;2023-08-04;16:32;2408.28;product2;paypal;completed
79;174;2023-10-20;4:46;6851.58;product2;credit_card;cancelled
80;384;2023-11-03;22:56;4473.54;product2;cash;pending
81;482;2023-12-09;15:18;5599.22;product1;credit_card;completed
82;145;2023-07-19;5:51;4090.2;product2;cash;cancelled
83;286;2023-09-06;4:25;7650.26;product3;credit_card;completed
84;18;2023-05-22;10:01;4984.17;product2;paypal;cancelled
85;75;2023-07-30;10:58;3882.74;product3;cash;cancelled
86;462;2023-02-03;2:06;7508.73;product1;credit_card;cancelled
87;11;2023-02-03;15:15;5277.51;product3;cash;completed
88;96;2023-03-12;1:24;5778.09;product2;credit_card;pending
89;90;2023-02-08;0:15;936.46;product2;cash;completed
90;261;2023-04-18;3:39;5569.32;product1;paypal;pending
91;434;2023-05-09;9:27;6548.77;product3;cash;pending
92;445;2023-03-02;14:55;4914.37;product2;paypal;cancelled
93;102;2023-07-29;4:54;7033.95;product2;paypal;cancelled
94;300;2023-03-15;8:30;3008.38;product3;credit_card;completed
95;310;2023-02-18;13:57;3364.45;product3;cash;cancelled
96;326;2023-04-27;16:01;5515.22;product3;paypal;pending
97;192;2023-06-30;5:01;3646.22;product3;cash;pending
98;228;2023-06-18;15:27;4715.03;product3;paypal;completed
99;238;2023-04-09;15:01;1081.31;product3;cash;completed
100;146;2023-12-16;14:57;8431.56;product2;credit_card;completed
101;425;2023-09-22;16:36;2622.85;product2;cash;pending
102;86;2023-10-28;9:49;7154.64;product3;paypal;completed
103;220;2023-12-15;18:55;2048.36;product1;cash;completed
104;48;2023-01-11;17:07;4189.97;product3;paypal;cancelled
105;230;2023-03-19;8:02;2394.77;product1;credit_card;completed
106;159;2023-05-02;8:23;5142.6;product1;paypal;cancelled
107;170;2023-07-13;11:21;904.69;product1;cash;completed
108;125;2023-04-30;20:34;353.75;product1;paypal;completed
109;2;2023-12-07;9:13;7089.44;product1;paypal;pending
110;23;2023-10-21;12:01;8914.28;product3;credit_card;cancelled
111;452;2023-04-07;19:59;6425.05;product2;credit_card;pending
112;316;2023-01-14;5:20;3532.35;product2;paypal;cancelled
113;206;2023-09-19;19:37;8697.81;product1;paypal;completed
114;138;2023-07-30;9:38;3194.47;product3;paypal;completed
115;363;2023-08-29;8:52;1329.56;product1;cash;completed
116;443;2023-06-17;18:34;634.74;product2;credit_card;pending
117;472;2023-10-25;11:41;4037.87;product2;paypal;pending
118;232;2023-12-13;16:04;4685.95;product3;cash;completed
119;105;2023-11-02;14:15;9679.83;product2;credit_card;cancelled
120;467;2023-08-01;3:36;8659.29;product3;paypal;cancelled
121;8;2023-02-06;9:22;5455.86;product2;paypal;cancelled
122;101;2023-03-05;18:19;1891.24;product3;credit_card;pending
123;425;2023-07-26;8:47;3766.51;product2;cash;cancelled
124;94;2023-07-23;17:15;2789.0;product2;credit_card;completed
125;487;2023-11-03;2:20;6326.11;product3;paypal;cancelled
126;71;2023-11-28;2:43;888.44;product3;cash;cancelled
127;128;2023-02-08;20:56;2153.24;product2;cash;pending
128;320;2023-01-02;17:56;2646.87;product1;paypal;pending
129;102;2023-02-23;15:57;7958.22;product1;cash;completed
130;1;2023-12-30;6:07;6374.79;product2;cash;pending
131;230;2023-07-08;15:23;9390.0;product2;paypal;cancelled
132;498;2023-11-06;21:31;1613.12;product2;cash;completed
133;86;2023-08-17;21:14;8468.58;product3;credit_card;pending
134;430;2023-03-05;18:14;5269.7;product2;paypal;completed
135;360;2023-07-27;21:07;7176.55;product3;credit_card;completed
136;267;2023-11-21;2:01;2298.22;product1;cash;completed
137;180;2023-01-14;14:36;3070.68;product2;paypal;cancelled
138;309;2023-04-25;4:59;6.76;product3;credit_card;completed
139;357;2023-09-14;18:40;6805.72;product2;paypal;cancelled
140;124;2023-12-10;6:37;6812.85;product2;cash;pending
141;415;2023-12-09;4:22;7615.73;product1;cash;cancelled
142;27;2023-09-22;5:23;3108.79;product3;cash;pending
143;306;2023-03-01;14:09;1280.96;product3;credit_card;completed
144;258;2023-02-08;1:55;991.09;product1;cash;pending
145;47;2023-12-07;17:33;1999.36;product1;cash;completed
146;4;2023-03-11;22:31;9935.12;product3;cash;pending
147;7;2023-05-09;18:48;8188.03;product2;cash;cancelled
148;383;2023-02-13;3:18;1599.94;product1;credit_card;completed
149;244;2023-07-29;12:55;9168.13;product3;credit_card;completed
150;246;2023-09-15;16:55;96.4;product1;credit_card;pending
151;342;2023-02-21;20:08;1317.26;product2;credit_card;pending
152;467;2023-04-14;10:05;4333.16;product1;credit_card;pending
153;136;2023-12-10;16:29;9156.08;product2;cash;cancelled
154;347;2023-01-16;20:49;2072.38;product1;cash;pending
155;158;2023-06-26;0:04;4318.29;product2;paypal;cancelled
156;481;2023-03-22;13:00;4757.35;product3;paypal;pending
157;352;2023-08-14;9:48;6406.04;product2;credit_card;pending
158;438;2023-05-20;16:34;5440.92;product2;paypal;completed
159;137;2023-09-26;0:27;800.11;product2;paypal;cancelled
160;58;2023-10-26;8:56;9761.43;product1;credit_card;completed
161;215;2023-09-24;21:54;7628.68;product1;paypal;pending
162;456;2023-10-25;18:11;9148.14;product2;paypal;pending
163;202;2023-01-24;20:40;4841.63;product3;credit_card;pending
164;162;2023-01-29;0:53;7924.53;product1;paypal;cancelled
165;452;2023-02-20;17:45;664.3;product2;paypal;completed
166;374;2023-09-03;12:19;5808.47;product2;cash;completed
167;50;2023-09-26;16:29;6342.72;product2;credit_card;cancelled
168;88;2023-12-11;6:58;9080.12;product2;credit_card;cancelled
169;6;2023-06-19;18:21;5889.13;product2;cash;cancelled
170;81;2023-07-29;17:49;3293.07;product1;cash;cancelled
171;369;2023-02-22;22:10;1033.3;product2;paypal;completed
172;332;2023-05-19;20:48;4600.98;product3;paypal;pending
173;228;2023-03-09;12:09;8152.94;product3;credit_card;completed
174;262;2023-03-27;0:10;9637.44;product1;paypal;completed
175;103;2023-08-21;1:25;5427.56;product1;credit_card;completed
176;333;2023-01-21;22:44;8028.14;product3;paypal;cancelled
177;309;2023-07-23;10:24;6863.22;product1;paypal;completed
178;25;2023-06-29;14:48;2582.38;product2;credit_card;pending
179;200;2023-04-18;13:40;8677.47;product2;paypal;cancelled
180;68;2023-02-28;23:58;3415.02;product2;credit_card;completed
181;386;2023-02-20;16:01;4424.57;product1;credit_card;completed
182;303;2023-11-01;14:47;1712.84;product1;paypal;cancelled
183;40;2023-02-15;16:39;5321.5;product3;credit_card;pending
184;47;2023-06-20;23:18;5134.05;product2;cash;completed
185;256;2023-02-22;14:46;4388.57;product1;cash;cancelled
186;245;2023-12-11;9:50;4532.7;product2;credit_card;cancelled
187;82;2023-05-07;21:24;2296.28;product3;cash;completed
188;436;2023-07-13;1:59;2092.88;product2;cash;completed
189;216;2023-04-27;17:14;4876.14;product2;paypal;completed
190;261;2023-02-22;16:45;8910.61;product1;credit_card;cancelled
191;309;2023-11-02;23:53;9878.41;product2;paypal;pending
192;28;2023-05-22;14:34;6472.74;product3;paypal;pending
193;202;2023-06-26;17:28;7302.13;product3;cash;pending
194;118;2023-07-30;18:00;4533.03;product1;paypal;pending
195;216;2023-03-20;20:11;7155.57;product3;cash;completed
196;463;2023-11-30;14:49;6484.68;product2;cash;cancelled
197;319;2023-05-05;23:00;906.17;product2;cash;pending
198;472;2023-10-12;11:14;2359.7;product1;paypal;cancelled
199;447;2023-07-02;4:39;1604.33;product3;cash;cancelled
200;376;2023-09-15;17:53;7898.07;product3;paypal;completed
201;184;2023-08-26;4:59;4549.95;product1;paypal;cancelled
202;96;2023-02-05;14:20;2538.65;product2;cash;completed
203;70;2023-03-02;9:15;8611.05;product1;credit_card;cancelled
204;36;2023-02-19;15:11;3942.44;product2;paypal;cancelled
205;101;2023-01-14;17:14;9951.66;product1;credit_card;cancelled
206;328;2023-05-05;4:02;3339.4;product1;paypal;completed
207;453;2023-01-04;18:26;7206.58;product1;cash;pending
208;23;2023-02-10;9:10;3848.83;product1;cash;completed
209;318;2023-03-08;4:26;9234.67;product3;paypal;cancelled
210;85;2023-10-01;4:46;5180.16;product3;cash;cancelled
211;476;2023-12-28;12:38;9711.42;product3;cash;pending
212;315;2023-06-26;4:55;1914.37;product1;credit_card;pending
213;113;2023-01-30;11:00;109.81;product2;credit_card;completed
214;78;2023-10-15;4:54;2762.56;product2;paypal;completed
215;42;2023-01-28;23:35;2285.02;product2;credit_card;pending
216;181;2023-09-30;10:41;1919.94;product3;cash;cancelled
217;345;2023-06-03;6:05;792.53;product3;cash;completed
218;180;2023-10-13;9:56;3346.71;product1;credit_card;cancelled
219;35;2023-11-29;7:22;9502.92;product2;credit_card;cancelled
220;297;2023-04-12;16:55;1262.42;product2;credit_card;pending
221;365;2023-09-27;14:28;8909.91;product1;cash;pending
222;16;2023-03-10;17:30;3064.24;product2;cash;completed
223;304;2023-10-21;23:48;6907.27;product3;cash;pending
224;92;2023-07-24;14:30;2650.82;product2;cash;cancelled
225;164;2023-11-04;0:34;5218.39;product3;credit_card;cancelled
226;147;2023-03-27;4:00;3881.69;product1;cash;cancelled
227;247;2023-11-07;19:50;10.37;product1;cash;pending
228;94;2023-11-12;20:14;3845.04;product1;credit_card;cancelled
229;270;2023-05-08;3:28;2626.83;product2;paypal;pending
230;327;2023-12-12;2:41;6855.71;product1;cash;pending
231;382;2023-11-19;15:38;3658.98;product3;cash;completed
232;440;2023-04-12;2:27;5448.47;product3;cash;pending
233;400;2023-02-15;22:05;233.58;product3;credit_card;pending
234;284;2023-11-18;21:30;674.35;product1;credit_card;pending
235;237;2023-04-26;12:04;6487.27;product1;paypal;cancelled
236;166;2023-09-02;23:17;3938.9;product3;cash;pending
237;482;2023-10-15;23:36;4998.17;product3;paypal;pending
238;204;2023-01-06;22:21;2445.63;product1;credit_card;completed
239;21;2023-01-03;9:06;2524.2;product2;credit_card;completed
240;340;2023-12-09;14:21;6539.83;product1;credit_card;cancelled
241;11;2023-01-07;9:20;127.96;product2;credit_card;cancelled
242;442;2023-12-10;12:15;9111.23;product3;cash;cancelled
243;156;2023-10-23;7:09;8362.86;product3;cash;pending
244;439;2023-06-03;13:55;4122.61;product2;credit_card;completed
245;291;2023-04-01;8:33;437.4;product2;credit_card;completed
246;48;2023-07-02;22:34;1478.06;product3;cash;completed
247;164;2023-02-07;17:01;1438.74;product1;credit_card;completed
248;327;2023-03-04;22:59;6832.29;product1;cash;completed
249;358;2023-02-18;12:59;1795.96;product3;cash;pending
250;255;2023-10-11;7:53;183.4;product2;credit_card;pending
251;397;2023-03-10;8:24;4.59;product3;paypal;cancelled
252;498;2023-08-09;2:22;764.68;product2;credit_card;cancelled
253;334;2023-08-14;13:46;3995.14;product1;paypal;cancelled
254;292;2023-07-26;4:34;2843.21;product3;cash;completed
255;151;2023-03-25;18:56;5178.67;product2;paypal;completed
256;261;2023-02-24;13:03;1581.13;product1;paypal;completed
257;92;2023-11-12;17:03;3667.18;product3;credit_card;cancelled
258;7;2023-06-14;19:40;6852.51;product1;credit_card;pending
259;249;2023-07-24;0:39;3269.69;product1;cash;cancelled
260;275;2023-04-13;4:39;5514.82;product1;credit_card;pending
261;251;2023-10-19;4:36;7537.3;product1;paypal;pending
262;164;2023-02-04;20:03;791.73;product2;credit_card;completed
263;14;2023-04-25;6:16;4478.23;product2;cash;completed
264;231;2023-02-25;12:35;2891.07;product1;credit_card;cancelled
265;277;2023-10-19;21:15;3973.52;product2;cash;cancelled
266;429;2023-11-21;6:37;1898.5;product3;paypal;completed
267;419;2023-01-30;12:37;3703.45;product1;credit_card;completed
268;158;2023-03-04;17:45;3350.57;product3;credit_card;cancelled
269;394;2023-05-29;19:34;4487.7;product3;cash;pending
270;3;2023-10-23;21:51;2826.4;product1;credit_card;cancelled
271;37;2023-09-24;13:08;9210.87;product1;paypal;pending
272;300;2023-08-27;18:21;2732.47;product3;cash;completed
273;154;2023-04-01;16:53;1663.16;product2;credit_card;pending
274;82;2023-03-23;16:32;8934.58;product2;cash;completed
275;326;2023-02-14;21:22;686.26;product2;cash;completed
276;337;2023-05-13;17:38;4229.44;product1;cash;completed
277;288;2023-07-01;21:19;8567.88;product1;paypal;pending
278;294;2023-05-14;12:46;6432.92;product2;credit_card;completed
279;332;2023-12-13;3:32;4212.81;product2;paypal;pending
280;229;2023-07-08;6:02;9097.98;product1;credit_card;pending
281;312;2023-05-26;8:09;5872.68;product1;paypal;completed
282;325;2023-05-18;10:40;2666.23;product2;cash;pending
283;426;2023-10-16;1:21;5622.47;product1;paypal;cancelled
284;10;2023-01-30;12:20;6629.72;product2;paypal;pending
285;404;2023-09-03;1:23;5818.85;product1;credit_card;pending
286;286;2023-09-23;8:18;1946.49;product2;cash;completed
287;237;2023-05-25;19:31;4912.4;product3;cash;cancelled
288;229;2023-12-19;12:33;5751.17;product3;paypal;pending
289;186;2023-11-03;19:41;644.2;product2;paypal;cancelled
290;277;2023-12-19;20:36;7886.27;product3;credit_card;completed
291;437;2023-09-26;2:19;7492.36;product3;paypal;cancelled
292;401;2023-08-09;5:27;8214.63;product2;cash;completed
293;2;2023-04-23;6:22;4934.86;product3;credit_card;cancelled
294;251;2023-10-02;7:40;3101.97;product2;credit_card;completed
295;208;2023-07-31;13:31;3060.3;product2;credit_card;completed
296;156;2023-01-02;9:32;3120.34;product1;paypal;completed
297;224;2023-02-11;3:07;4439.34;product1;cash;cancelled
298;218;2023-03-29;2:14;7345.85;product1;paypal;cancelled
299;56;2023-08-11;18:04;1626.9;product1;paypal;cancelled
300;106;2023-07-11;14:11;4848.42;product3;credit_card;pending
301;397;2023-04-11;11:08;8676.16;product3;cash;pending
302;456;2023-02-01;14:20;2537.24;product3;cash;completed
303;370;2023-06-04;13:26;6991.21;product3;cash;cancelled
304;490;2023-11-09;9:05;7061.6;product1;cash;cancelled
305;395;2023-05-01;0:45;8346.03;product2;paypal;completed
306;6;2023-02-04;7:44;3604.02;product1;credit_card;cancelled
307;171;2023-10-09;16:31;5838.2;product2;paypal;completed
308;240;2023-06-17;6:55;372.48;product2;credit_card;cancelled
309;293;2023-02-02;10:17;3932.94;product1;credit_card;cancelled
310;34;2023-08-27;12:04;6608.11;product2;credit_card;pending
311;229;2023-11-10;15:32;2419.51;product1;paypal;completed
312;1;2023-03-24;14:55;803.06;product3;cash;cancelled
313;227;2023-09-24;0:37;1264.86;product2;paypal;completed
314;229;2023-10-30;13:30;8092.28;product1;cash;pending
315;494;2023-05-08;1:28;6594.97;product3;paypal;cancelled
316;113;2023-12-15;20:41;6726.23;product1;cash;completed
317;136;2023-06-11;10:16;2950.59;product1;cash;cancelled
318;171;2023-07-12;1:30;4030.35;product2;credit_card;completed
319;284;2023-02-16;5:42;9764.43;product3;paypal;pending
320;189;2023-04-30;22:57;1181.55;product2;cash;pending
321;225;2023-11-11;2:46;2406.85;product3;cash;pending
322;368;2023-10-11;6:58;2644.01;product3;credit_card;completed
323;73;2023-05-10;12:42;1870.57;product3;credit_card;cancelled
324;4;2023-05-18;9:10;8156.11;product1;paypal;completed
325;130;2023-05-09;22:59;3504.65;product2;cash;cancelled
326;11;2023-11-21;14:12;4993.72;product2;cash;completed
327;131;2023-02-16;22:25;1135.8;product2;credit_card;cancelled
328;474;2023-04-27;8:23;9113.25;product3;cash;pending
329;421;2023-10-24;10:05;9940.46;product3;credit_card;pending
330;397;2023-12-22;21:08;4090.36;product2;paypal;cancelled
331;200;2023-12-26;3:12;8505.14;product2;cash;cancelled
332;335;2023-03-20;7:11;1218.68;product3;cash;cancelled
333;242;2023-06-01;3:37;3293.56;product2;paypal;pending
334;390;2023-05-21;4:39;4214.78;product2;credit_card;completed
335;228;2023-01-30;10:04;3919.09;product3;paypal;completed
336;154;2023-08-19;1:20;9227.56;product2;cash;pending
337;371;2023-06-23;17:35;3991.24;product2;credit_card;cancelled
338;370;2023-01-24;3:53;534.16;product1;credit_card;completed
339;492;2023-05-12;10:24;3291.04;product1;cash;completed
340;430;2023-05-22;12:03;1637.25;product1;paypal;pending
341;193;2023-06-23;15:55;2223.87;product3;paypal;completed
342;250;2023-08-10;3:03;6824.48;product3;paypal;completed
343;224;2023-03-14;19:13;1086.74;product3;paypal;cancelled
344;407;2023-11-05;2:52;7133.17;product1;credit_card;cancelled
345;222;2023-10-25;3:53;5460.9;product2;credit_card;pending
346;266;2023-12-28;12:06;1341.94;product3;paypal;pending
347;404;2023-02-21;9:17;2165.23;product2;paypal;completed
348;319;2023-11-19;16:36;1085.16;product1;cash;cancelled
349;203;2023-07-01;16:42;2861.99;product3;paypal;pending
350;34;2023-04-09;4:18;6687.44;product3;credit_card;cancelled
351;386;2023-10-21;0:00;3479.84;product1;paypal;completed
352;372;2023-12-03;7:45;331.37;product3;paypal;pending
353;234;2023-12-12;14:04;1860.09;product2;paypal;pending
354;459;2023-01-27;20:03;9813.82;product2;cash;cancelled
355;141;2023-02-13;19:52;1946.7;product2;paypal;pending
356;169;2023-02-15;6:48;478.52;product3;paypal;completed
357;109;2023-10-17;23:27;3342.78;product1;cash;completed
358;273;2023-11-17;6:58;9841.34;product2;cash;pending
359;261;2023-05-25;1:33;5519.6;product2;credit_card;pending
360;270;2023-12-07;3:17;5171.12;product2;credit_card;cancelled
361;454;2023-01-19;13:03;143.79;product2;paypal;completed
362;460;2023-04-04;8:50;7533.36;product1;paypal;completed
363;383;2023-10-31;20:26;1833.01;product3;cash;pending
364;442;2023-01-23;19:13;4229.93;product1;paypal;completed
365;305;2023-01-18;12:33;5125.54;product3;paypal;completed
366;259;2023-09-04;5:28;5428.49;product3;credit_card;cancelled
367;164;2023-03-10;1:05;3051.57;product3;cash;completed
368;464;2023-03-13;11:56;564.07;product2;cash;pending
369;339;2023-02-12;9:44;2043.74;product3;credit_card;completed
370;443;2023-05-19;6:57;2115.08;product1;cash;pending
371;216;2023-07-11;11:32;5031.51;product2;cash;completed
372;21;2023-03-30;10:40;5060.01;product1;paypal;cancelled
373;453;2023-12-13;15:35;2057.6;product3;credit_card;cancelled
374;183;2023-06-05;13:22;494.51;product3;paypal;cancelled
375;55;2023-02-10;7:31;155.39;product3;paypal;cancelled
376;321;2023-07-07;15:47;5267.02;product1;cash;cancelled
377;37;2023-08-05;9:51;3335.39;product1;credit_card;completed
378;66;2023-05-19;23:21;6997.03;product1;paypal;pending
379;115;2023-08-14;4:21;6333.86;product1;paypal;pending
380;465;2023-10-27;18:35;1839.02;product3;cash;pending
381;8;2023-11-27;12:49;665.38;product1;credit_card;cancelled
382;174;2023-03-08;19:17;1774.95;product1;credit_card;cancelled
383;421;2023-07-25;6:51;7794.72;product2;cash;completed
384;20;2023-10-08;0:06;8994.35;product1;cash;cancelled
385;73;2023-03-12;13:58;3262.16;product1;credit_card;pending
386;32;2023-05-18;4:16;6852.53;product2;paypal;completed
387;86;2023-05-14;13:55;7203.27;product2;cash;completed
388;246;2023-06-19;8:10;9473.32;product3;paypal;completed
389;487;2023-08-19;15:37;3304.0;product2;paypal;pending
390;315;2023-10-29;13:24;3418.12;product2;paypal;pending
391;421;2023-07-15;7:16;6148.0;product2;paypal;pending
392;152;2023-08-18;14:48;6125.63;product2;paypal;cancelled
393;411;2023-06-06;9:40;4935.99;product3;credit_card;completed
394;437;2023-11-03;13:00;3466.35;product3;cash;cancelled
395;85;2023-06-21;16:32;8376.43;product1;cash;pending
396;231;2023-07-20;21:19;3126.37;product2;cash;cancelled
397;188;2023-09-03;17:06;9212.05;product3;credit_card;completed
398;472;2023-04-13;5:56;4319.67;product2;paypal;completed
399;246;2023-12-03;13:08;9603.97;product2;credit_card;cancelled
400;387;2023-10-14;14:10;5639.77;product1;cash;cancelled
401;103;2023-01-13;14:28;4591.5;product3;cash;pending
402;127;2023-04-23;10:58;8122.82;product1;credit_card;completed
403;380;2023-05-08;10:21;1455.41;product1;paypal;cancelled
404;153;2023-07-21;7:40;3031.53;product1;paypal;completed
405;10;2023-03-13;18:13;2620.79;product1;credit_card;pending
406;180;2023-01-21;1:06;2831.34;product2;cash;pending
407;13;2023-06-07;9:59;2805.93;product2;cash;cancelled
408;426;2023-01-18;17:55;2045.99;product2;credit_card;pending
409;475;2023-06-25;22:59;1688.75;product1;credit_card;completed
410;121;2023-02-10;13:57;1198.24;product1;credit_card;pending
411;247;2023-12-16;16:46;10.82;product2;credit_card;completed
412;304;2023-10-20;5:39;5345.94;product3;paypal;pending
413;70;2023-07-29;16:21;5438.97;product2;credit_card;completed
414;428;2023-03-29;2:51;4652.86;product1;paypal;completed
415;25;2023-12-01;6:07;7826.28;product3;cash;pending
416;470;2023-11-20;21:09;5124.45;product3;paypal;completed
417;29;2023-02-16;14:10;49.12;product1;paypal;pending
418;20;2023-02-05;8:24;177.53;product2;credit_card;completed
419;339;2023-10-01;12:01;724.05;product3;paypal;pending
420;113;2023-10-13;8:03;2215.01;product1;paypal;cancelled
421;97;2023-12-03;18:37;134.03;product3;cash;cancelled
422;71;2023-02-03;3:05;1889.27;product3;paypal;cancelled
423;104;2023-12-25;19:25;3868.99;product2;cash;pending
424;256;2023-07-17;21:48;2732.44;product2;cash;pending
425;162;2023-06-20;11:01;5392.21;product2;credit_card;completed
426;267;2023-05-19;7:13;735.88;product3;paypal;cancelled
427;37;2023-10-18;15:15;8506.73;product2;credit_card;pending
428;350;2023-03-10;10:18;7116.36;product2;cash;cancelled
429;459;2023-04-03;21:12;5029.96;product3;paypal;pending
430;241;2023-07-04;14:56;3244.74;product1;paypal;cancelled
431;138;2023-05-23;21:33;2801.87;product1;paypal;completed
432;54;2023-07-14;8:56;9129.08;product2;paypal;cancelled
433;295;2023-03-13;19:12;7081.67;product1;credit_card;cancelled
434;52;2023-10-05;17:54;6532.46;product3;cash;pending
435;134;2023-01-13;17:54;3984.41;product2;paypal;pending
436;39;2023-09-26;7:42;3228.72;product2;paypal;completed
437;251;2023-08-05;19:05;7982.1;product3;paypal;completed
438;330;2023-03-09;5:34;3681.82;product3;cash;pending
439;395;2023-10-20;20:42;3537.71;product2;paypal;completed
440;402;2023-12-12;13:26;2930.31;product1;credit_card;pending
441;205;2023-05-29;14:22;4045.62;product3;credit_card;cancelled
442;351;2023-03-23;1:32;3693.99;product3;paypal;completed
443;53;2023-10-06;16:44;4956.25;product3;paypal;pending
444;488;2023-10-03;20:26;8757.69;product1;cash;cancelled
445;470;2023-02-27;22:46;2143.82;product1;credit_card;completed
446;343;2023-03-29;21:12;3237.21;product3;paypal;completed
447;137;2023-01-22;16:59;9454.16;product3;cash;pending
448;430;2023-02-20;18:19;558.66;product2;cash;cancelled
449;377;2023-09-26;20:56;975.08;product2;credit_card;pending
450;252;2023-04-15;7:08;541.26;product2;cash;pending
451;289;2023-09-25;16:44;4926.98;product1;credit_card;pending
452;12;2023-02-23;21:02;4147.82;product2;paypal;cancelled
453;89;2023-12-05;4:27;1600.29;product2;cash;pending
454;484;2023-03-04;7:26;2213.55;product1;credit_card;pending
455;221;2023-12-15;3:24;6085.33;product1;credit_card;cancelled
456;196;2023-10-10;17:30;7177.72;product1;paypal;completed
